"indicator","ref-area","Unit","Date","Value"
"Population","Batha","Persons, Number of","2009","488458"
"Population","Batha","Persons, Number of","2010","495242.922988471"
"Population","Batha","Persons, Number of","2011","504929.146265181"
"Population","Batha","Persons, Number of","2012","523035.846022369"
"Population","Batha","Persons, Number of","2013","541288.398981924"
"Population","Batha","Persons, Number of","2014","560106.762507781"
"Population","Batha","Persons, Number of","2015","579952.61466522"
"Population","Batha","Persons, Number of","2016","598828.058542104"
"Population","Batha","Persons, Number of","2017","619847.591038168"
"Population","Batha","Persons, Number of","2018","641552.849382084"
"Population","Batha","Persons, Number of","2019","665946.469551457"
"Population","Batha","Persons, Number of","2020","688637.19963402"
"Population","Batha","Persons, Number of","2021","711638"
"Population","Batha","Persons, Number of","2022","736870"
"Population","Batha","Persons, Number of","2023","797901"
"Population","Batha","Persons, Number of","2024","826298"
"Population","Lac","Persons, Number of","2009","433790"
"Population","Lac","Persons, Number of","2010","468612.195245074"
"Population","Lac","Persons, Number of","2011","467996.869803241"
"Population","Lac","Persons, Number of","2012","488931.393480268"
"Population","Lac","Persons, Number of","2013","504933.741363844"
"Population","Lac","Persons, Number of","2014","521384.114860988"
"Population","Lac","Persons, Number of","2015","539707.281281723"
"Population","Lac","Persons, Number of","2016","591545.418879428"
"Population","Lac","Persons, Number of","2017","605860.515338239"
"Population","Lac","Persons, Number of","2018","599497.485046637"
"Population","Lac","Persons, Number of","2019","615589.530462337"
"Population","Lac","Persons, Number of","2020","636564.45339688"
"Population","Lac","Persons, Number of","2021","657826"
"Population","Lac","Persons, Number of","2022","681150"
"Population","Lac","Persons, Number of","2023","708600"
"Population","Lac","Persons, Number of","2024","733819"
"Population","Bahr el Gazel","Persons, Number of","2009","257267"
"Population","Bahr el Gazel","Persons, Number of","2010","262547.786854284"
"Population","Bahr el Gazel","Persons, Number of","2011","273161.589307324"
"Population","Bahr el Gazel","Persons, Number of","2012","282957.131749999"
"Population","Bahr el Gazel","Persons, Number of","2013","292831.579308092"
"Population","Bahr el Gazel","Persons, Number of","2014","303012.124691357"
"Population","Bahr el Gazel","Persons, Number of","2015","313748.53108933"
"Population","Bahr el Gazel","Persons, Number of","2016","323959.956368359"
"Population","Bahr el Gazel","Persons, Number of","2017","335331.312024081"
"Population","Bahr el Gazel","Persons, Number of","2018","347073.638466129"
"Population","Bahr el Gazel","Persons, Number of","2019","360270.341614902"
"Population","Bahr el Gazel","Persons, Number of","2020","372545.798355205"
"Population","Bahr el Gazel","Persons, Number of","2021","384989"
"Population","Bahr el Gazel","Persons, Number of","2022","398640"
"Population","Bahr el Gazel","Persons, Number of","2023","420248"
"Population","Bahr el Gazel","Persons, Number of","2024","435204"
"Population","Borkou","Persons, Number of","2009","93584"
"Population","Borkou","Persons, Number of","2010","101349.069182658"
"Population","Borkou","Persons, Number of","2011","105446.224264378"
"Population","Borkou","Persons, Number of","2012","109227.513455954"
"Population","Borkou","Persons, Number of","2013","113039.261712134"
"Population","Borkou","Persons, Number of","2014","116969.170285077"
"Population","Borkou","Persons, Number of","2015","121113.653115569"
"Population","Borkou","Persons, Number of","2016","125055.481989686"
"Population","Borkou","Persons, Number of","2017","129445.068833517"
"Population","Borkou","Persons, Number of","2018","133977.858346616"
"Population","Borkou","Persons, Number of","2019","139072.068419506"
"Population","Borkou","Persons, Number of","2020","143810.657646739"
"Population","Borkou","Persons, Number of","2021","148614"
